id,tick,player_id,position_x,position_y,position_z,angle,hp,armor
1,256,6,-852,-765,119,170,100,100
1,256,10,-1198,-534,131,128,100,100
1,256,4,-1090,-655,127,166,100,0
1,256,7,-213,2152,-126,178,100,0
1,256,8,745,2197,-58,346,100,100
1,256,9,-377,-769,88,91,100,0
1,256,12,45,2137,-127,194,100,0
1,256,5,-77,2161,-127,177,100,100
1,256,2,-1184,-607,128,146,100,100
1,256,3,569,2240,-104,4,100,100
1,512,3,1064,2250,15,6,100,100
1,512,4,-1426,-299,132,118,100,0
1,512,8,1227,2084,1,277,100,100
1,512,2,-1482,-224,167,130,100,100
1,512,10,-1470,-116,181,113,100,100
1,512,7,-697,2178,-119,176,100,0
1,512,9,-365,-775,84,91,100,0
1,512,12,-371,1945,-126,268,100,0
1,512,5,-541,2303,-114,164,100,100
1,512,6,-1273,-523,131,101,100,100
1,768,2,-1545,220,6,101,100,100
1,768,4,-1503,156,2,102,100,0
1,768,8,1307,1618,1,170,100,100
1,768,5,-1002,2491,-7,155,100,100
1,768,6,-1484,-90,145,101,100,100
1,768,9,-358,-775,83,91,100,0
1,768,7,-1191,2185,3,183,100,0
1,768,10,-1570,356,1,103,100,100
1,768,12,-320,1772,-115,264,100,0
1,768,3,1353,2493,53,98,100,100
1,1024,7,-1582,2099,-5,222,100,0
1,1024,12,-438,1923,-126,269,100,0
1,1024,6,-1582,373,0,101,100,100
1,1024,5,-1439,2688,183,170,100,100
1,1024,3,983,2593,95,209,100,100
1,1024,4,-1623,638,31,100,100,0
1,1024,8,1396,1334,-10,218,100,100
1,1024,9,-299,-1125,75,91,100,0
1,1024,2,-1642,709,31,101,100,100
1,1024,10,-1670,804,30,104,100,100
1,1280,9,-299,-1119,75,90,100,0
1,1280,12,-457,2040,-83,270,100,0
1,1280,5,-1833,2838,62,264,100,100
1,1280,6,-1653,778,30,97,100,100
1,1280,10,-1694,983,32,119,100,100
1,1280,4,-1643,936,31,118,100,0
1,1280,7,-1741,1985,-3,224,100,0
1,1280,8,1565,1464,1,218,100,100
1,1280,2,-1625,987,32,20,100,100
1,1280,3,575,2320,180,231,100,100
1,1536,10,-1736,993,37,15,100,100
1,1536,4,-1662,1155,30,106,100,0
1,1536,7,-1692,2038,-6,225,100,0
1,1536,9,-123,-704,89,60,100,0
1,1536,3,421,1870,95,244,100,100
1,1536,5,-2088,2964,34,275,100,100
1,1536,6,-1679,1028,30,124,100,100
1,1536,8,1565,1464,1,218,100,100
1,1536,12,-575,2199,-122,285,100,0
1,1536,2,-1591,1151,33,357,100,100
1,1792,9,140,-414,1,81,100,0
1,1792,5,-2062,2908,33,273,100,100
1,1792,6,-1790,1240,85,134,100,100
1,1792,4,-1757,1370,42,172,100,0
1,1792,7,-1691,2106,-6,232,100,0
1,1792,8,1565,1464,1,218,100,100
1,1792,12,-596,2154,-119,288,100,0
1,1792,2,-1590,1248,38,159,100,100
1,1792,3,371,1624,15,213,100,100
1,1792,10,-1680,968,30,118,100,100
1,2048,4,-1838,1386,40,170,100,0
1,2048,8,1558,1456,1,218,100,100
1,2048,10,-1751,983,37,29,100,100
1,2048,6,-1784,1267,69,137,100,100
1,2048,12,-720,2314,-110,298,100,0
1,2048,2,-1754,1348,41,159,100,100
1,2048,3,185,1505,1,216,100,100
1,2048,7,-1702,2092,-6,232,100,0
1,2048,9,226,30,73,126,100,0
1,2048,5,-2066,2907,33,274,100,100
1,2304,10,-1654,1002,30,109,100,100
1,2304,4,-1842,1386,39,169,100,0
1,2304,7,-1654,2154,-5,232,100,0
1,2304,6,-1785,1266,69,136,100,100
1,2304,9,-3,320,0,119,100,0
1,2304,12,-720,2314,-110,299,100,0
1,2304,5,-2054,2908,33,274,100,100
1,2304,2,-1779,1355,40,159,100,100
1,2304,3,-65,1479,0,259,100,100
1,2304,8,1540,1478,1,218,100,100
1,2560,5,-2072,2906,33,274,100,100
1,2560,6,-1785,1266,69,140,100,100
1,2560,10,-1651,1241,34,346,100,100
1,2560,8,1558,1456,1,218,100,100
1,2560,3,-137,1481,0,269,100,100
1,2560,4,-1842,1386,39,169,100,0
1,2560,7,-1628,2187,-4,232,100,0
1,2560,12,-683,2327,-112,289,100,0
1,2560,2,-1787,1352,40,159,100,100
1,2816,4,-1848,1386,39,168,100,0
1,2816,5,-2062,2905,33,274,100,100
1,2816,6,-1952,1382,30,152,100,100
1,2816,8,1541,1478,1,218,100,100
1,2816,2,-1804,1350,39,155,100,100
1,2816,3,225,1486,0,171,100,100
1,2816,7,-1686,2107,-6,230,100,0
1,2816,12,-723,2283,-112,300,100,0
1,2816,10,-1801,1196,32,107,100,100
1,3072,2,-2013,1399,31,91,100,100
1,3072,3,296,1553,3,178,100,100
1,3072,4,-1930,1386,33,94,100,0
1,3072,6,-1989,1624,53,82,53,74
1,3072,10,-1970,1351,27,92,100,100
1,3072,7,-1752,1871,0,300,100,0
1,3072,8,1521,1578,0,120,100,100
1,3072,5,-2069,2908,33,273,27,100
1,3072,12,-1014,2370,-24,136,100,0
1,3328,10,-1970,1513,33,93,86,95
1,3328,2,-2003,1525,32,78,75,91
1,3328,4,-1977,1413,29,90,76,0
1,3328,5,-2069,2914,33,274,27,100
1,3328,12,-1309,2177,2,225,100,0
1,3328,3,-153,1446,0,189,100,100
1,3328,7,-1882,2005,-3,255,100,0
1,3328,8,1295,2018,1,168,100,100
1,3584,7,-1690,1773,3,204,100,0
1,3584,8,821,2100,-38,177,100,100
1,3584,12,-1324,2222,2,212,100,0
1,3584,2,-1985,1540,31,93,42,81
1,3584,3,-591,1401,-114,183,100,100
1,3584,5,-2071,2913,33,277,27,100
1,3584,10,-1942,1537,36,94,86,95
1,3584,4,-1996,1424,30,88,76,0
1,3840,10,-1942,1512,36,89,86,95
1,3840,8,339,2122,-127,177,100,100
1,3840,12,-1501,2399,0,234,100,0
1,3840,7,-1693,1773,3,144,100,0
1,3840,5,-1948,2894,31,267,4,89
1,3840,2,-2004,1667,31,57,28,74
1,3840,3,-1040,1343,-111,220,100,100
1,3840,4,-2014,1607,31,61,69,0
1,4096,3,-1359,1060,39,153,100,100
1,4096,7,-1897,2027,-3,262,100,0
1,4096,10,-1949,1380,31,59,86,95
1,4096,12,-1549,2589,4,244,100,0
1,4096,8,-137,2145,-126,177,100,100
1,4352,7,-1940,1814,33,271,100,0
1,4352,12,-1556,2592,4,243,100,0
1,4352,8,-626,2165,-119,177,100,100
1,4352,3,-1461,1140,34,162,88,93
1,4608,7,-1942,1383,32,321,100,0
1,4608,12,-1700,2293,0,206,100,0
1,4608,8,-1102,2194,-4,190,100,100
1,4608,3,-1821,1209,59,145,88,93
1,4864,3,-1959,1635,32,86,88,93
1,4864,7,-1600,1201,33,17,100,0
1,4864,8,-1453,2414,0,106,100,100
1,4864,12,-1939,1869,44,248,100,0
1,5120,6,-1181,-754,120,8,100,0
1,5120,12,351,2352,-120,286,100,0
1,5120,2,-657,-755,119,207,100,0
1,5120,5,160,2369,-119,23,100,0
1,5120,9,-1141,-808,116,111,100,0
1,5120,10,-332,-754,78,212,100,0
1,5120,3,258,2480,-121,301,100,93
1,5120,4,-1015,-808,116,17,100,0
1,5120,7,334,2433,-120,230,100,0
1,5120,8,182,2439,-120,334,100,100
1,5376,7,334,2433,-120,230,100,0
1,5376,8,182,2439,-120,334,100,100
1,5376,9,-1141,-808,116,111,100,0
1,5376,12,351,2352,-120,197,100,0
1,5376,2,-657,-755,119,358,100,0
1,5376,6,-1181,-754,120,5,100,0
1,5376,3,258,2480,-121,247,100,93
1,5376,4,-1015,-808,116,5,100,0
1,5376,5,160,2369,-119,30,100,100
1,5376,10,-332,-754,78,30,100,0
1,5632,3,258,2480,-121,298,100,93
1,5632,4,-1015,-808,116,5,100,0
1,5632,7,334,2433,-120,228,100,100
1,5632,5,160,2369,-119,28,100,100
1,5632,6,-1181,-754,120,5,100,0
1,5632,8,182,2439,-120,327,100,100
1,5632,2,-657,-755,119,358,100,0
1,5632,10,-332,-754,78,30,100,0
1,5632,9,-1141,-808,116,111,100,0
1,5632,12,351,2352,-120,158,100,0
1,5888,2,-657,-755,119,358,100,0
1,5888,12,351,2352,-120,154,100,100
1,5888,10,-332,-754,78,30,100,0
1,5888,3,258,2480,-121,268,100,93
1,5888,4,-1015,-808,116,5,100,0
1,5888,7,334,2433,-120,229,100,100
1,5888,8,182,2439,-120,327,100,100
1,5888,9,-1141,-808,116,111,100,0
1,5888,5,160,2369,-119,28,100,100
1,5888,6,-1181,-754,120,5,100,0
1,6144,3,258,2480,-121,304,100,93
1,6144,5,160,2369,-119,6,100,100
1,6144,6,-1181,-754,120,5,100,0
1,6144,7,334,2433,-120,229,100,100
1,6144,12,351,2352,-120,151,100,100
1,6144,2,-657,-755,119,358,100,0
1,6144,10,-332,-754,78,30,100,0
1,6144,4,-1015,-808,116,5,100,0
1,6144,8,182,2439,-120,328,100,100
1,6144,9,-1141,-808,116,21,100,0
1,6400,10,-332,-754,78,30,100,0
1,6400,8,182,2439,-120,333,100,100
1,6400,12,351,2352,-120,151,100,100
1,6400,7,334,2433,-120,226,100,100
1,6400,9,-1141,-808,116,97,100,0
1,6400,5,160,2369,-119,349,100,100
1,6400,6,-1181,-754,120,5,100,0
1,6400,2,-657,-755,119,358,100,0
1,6400,3,258,2480,-121,241,100,93
1,6400,4,-1015,-808,116,5,100,0
1,6656,2,-657,-755,119,358,100,0
1,6656,5,160,2369,-119,349,100,100
1,6656,9,-1141,-808,116,97,100,0
1,6656,4,-1015,-808,116,5,100,0
1,6656,7,334,2433,-120,226,100,100
1,6656,8,182,2439,-120,335,100,100
1,6656,12,351,2352,-120,151,100,100
1,6656,10,-332,-754,78,31,100,0
1,6656,6,-1181,-754,120,5,100,0
1,6656,3,258,2480,-121,239,100,93
1,6912,9,-1141,-808,116,20,100,0
1,6912,5,160,2369,-119,38,100,100
1,6912,10,-332,-754,78,31,100,0
1,6912,3,258,2480,-121,239,100,93
1,6912,4,-1015,-808,116,5,100,0
1,6912,7,334,2433,-120,225,100,100
1,6912,8,182,2439,-120,335,100,100
1,6912,6,-1181,-754,120,5,100,0
1,6912,12,351,2352,-120,151,100,100
1,6912,2,-657,-755,119,358,100,0
1,7168,3,258,2480,-121,238,100,93
1,7168,4,-1015,-808,116,5,100,0
1,7168,7,334,2433,-120,225,100,100
1,7168,5,160,2369,-119,352,100,100
1,7168,12,351,2352,-120,143,100,100
1,7168,2,-657,-755,119,359,100,0
1,7168,8,182,2439,-120,335,100,100
1,7168,6,-1181,-754,120,5,100,0
1,7168,10,-332,-754,78,31,100,0
1,7168,9,-1141,-808,116,20,100,0
1,7424,5,160,2369,-119,349,100,100
1,7424,6,-1181,-754,120,5,100,0
1,7424,2,-657,-755,119,359,100,0
1,7424,7,334,2433,-120,173,100,100
1,7424,12,351,2352,-120,143,100,100
1,7424,10,-332,-754,78,23,100,0
1,7424,3,258,2480,-121,312,100,93
1,7424,4,-1015,-808,116,5,100,0
1,7424,8,182,2439,-120,331,100,100
1,7424,9,-1141,-808,116,20,100,0
1,7680,3,327,2487,-119,230,100,93
1,7680,7,203,2328,-118,219,100,100
1,7680,8,327,2386,-119,317,100,100
1,7680,9,-897,-861,117,20,100,0
1,7680,2,-401,-700,104,14,100,0
1,7680,10,-86,-661,88,32,100,0
1,7680,5,313,2289,-118,344,100,100
1,7680,12,256,2128,-126,180,100,100
1,7680,6,-920,-729,125,5,100,0
1,7680,4,-754,-784,117,5,100,0
1,7936,8,733,2226,-58,312,100,100
1,7936,5,793,2162,-48,349,100,100
1,7936,6,-421,-691,108,1,100,0
1,7936,9,-427,-740,101,20,100,0
1,7936,2,62,-627,1,64,100,0
1,7936,3,640,2225,-86,349,100,93
1,7936,4,-256,-740,61,5,100,0
1,7936,7,-212,2112,-126,260,100,100
1,7936,10,217,-287,2,83,100,0
1,7936,12,-156,2094,-125,148,100,100
1,8192,12,-519,2316,-112,162,100,100
1,8192,5,1270,2072,0,171,100,100
1,8192,8,1201,2140,1,341,100,100
1,8192,9,-28,-707,14,20,100,0
1,8192,2,246,-172,9,63,100,0
1,8192,3,1110,2148,2,319,100,93
1,8192,4,130,-495,1,76,100,0
1,8192,6,2,-542,1,42,100,0
1,8192,10,170,195,9,141,100,0
1,8192,7,-592,2146,-119,172,100,100
1,8448,12,-958,2507,-22,194,100,100
1,8448,2,139,281,1,137,100,0
1,8448,3,1255,2038,1,277,100,93
1,8448,4,234,-16,3,109,100,0
1,8448,7,-1078,2192,-10,179,100,100
1,8448,8,1643,1950,1,227,100,100
1,8448,9,244,-302,1,64,100,0
1,8448,5,1331,1622,-2,169,100,100
1,8448,6,241,-122,9,98,100,0
1,8448,10,-195,466,-1,100,100,0
1,8704,7,-1530,2299,-1,237,100,100
1,8704,8,1623,1974,1,232,100,100
1,8704,9,214,160,9,112,100,0
1,8704,12,-1371,2683,126,236,100,100
1,8704,10,-159,877,1,109,100,0
1,8704,2,-257,513,-1,98,100,0
1,8704,3,1255,2038,1,277,100,93
1,8704,4,-16,382,-1,142,100,0
1,8704,5,1268,1409,0,89,100,100
1,8704,6,71,330,0,144,100,0
1,8960,9,-123,492,0,112,100,0
1,8960,12,-1370,2683,127,240,100,100
1,8960,3,1330,1663,-2,125,100,93
1,8960,7,-1665,2169,-4,238,100,100
1,8960,10,-121,1336,0,27,100,0
1,8960,6,-159,700,89,107,100,0
1,8960,2,-219,918,32,106,100,0
1,8960,4,-161,800,2,107,100,0
1,8960,8,1589,1820,1,238,100,100
1,8960,5,1273,1279,0,217,100,100
1,9216,5,1387,1079,-8,186,100,100
1,9216,8,1522,1930,44,161,100,100
1,9216,2,-111,1330,0,29,100,0
1,9216,10,297,1543,2,67,100,0
1,9216,3,1427,1369,-11,143,100,93
1,9216,4,-164,1272,0,28,100,0
1,9216,7,-1284,2179,3,351,100,100
1,9216,9,-149,934,1,89,100,0
1,9216,12,-1538,2634,5,243,100,100
1,9216,6,-167,1148,0,51,100,0
1,9472,12,-1569,2597,5,246,100,100
1,9472,2,290,1545,3,66,100,0
1,9472,3,1360,1836,41,142,100,93
1,9472,7,-1109,2193,-2,348,100,100
1,9472,6,125,1437,0,60,100,0
1,9472,10,319,1996,98,12,100,0
1,9472,8,1378,2250,1,186,100,100
1,9472,9,-72,1354,0,37,100,0
1,9472,4,248,1496,1,70,100,0
1,9472,5,1175,1124,0,217,100,100
1,9728,2,328,2013,97,27,100,0
1,9728,3,1242,2107,0,164,1,87
1,9728,8,1302,2624,95,196,100,100
1,9728,12,-1483,2523,2,238,100,100
1,9728,6,295,1797,96,45,100,0
1,9728,5,1078,1082,0,71,100,100
1,9728,4,314,1942,98,28,100,0
1,9728,7,-868,2163,-90,348,100,100
1,9728,9,311,1596,3,82,100,0
1,9984,2,292,2318,97,19,100,0
1,9984,7,-439,2107,-127,277,100,100
1,9984,8,1321,2691,105,193,75,84
1,9984,9,322,2052,96,32,100,0
1,9984,5,1360,1399,-8,102,100,100
1,9984,6,592,2072,144,70,100,0
1,9984,12,-1276,2180,3,359,100,100
1,9984,4,300,2185,98,26,100,0
1,10240,4,356,2318,96,16,100,0
1,10240,8,1355,2552,67,206,24,53
1,10240,7,-185,2069,-124,10,89,93
1,10240,5,1599,1758,0,139,100,100
1,10240,9,333,2220,97,23,100,0
1,10240,12,-936,2125,-61,3,100,100
1,10496,5,1633,1807,1,149,100,100
1,10496,9,334,2562,97,327,100,0
1,10496,4,435,2610,95,358,74,0
1,10496,7,165,2106,-126,27,89,93
1,10496,8,1350,2618,85,183,24,53
1,10496,12,-579,2108,-118,287,100,100
1,10752,12,-481,1692,-122,306,100,100
1,10752,7,595,2084,-95,62,89,93
1,10752,5,1629,1801,1,148,100,100
1,10752,8,1401,2544,59,177,24,53
1,10752,9,309,2601,97,358,74,0
1,11008,7,1031,2065,0,139,89,93
1,11008,9,320,2650,96,354,18,0
1,11008,5,1784,1995,25,153,100,100
1,11008,8,1414,2588,70,177,24,53
1,11008,12,-363,1473,-17,359,100,100
1,11264,8,1155,2641,95,187,24,53
1,11264,5,1581,2096,25,147,100,100
1,11264,7,1215,2184,3,40,89,93
1,11264,12,-8,1490,0,3,100,100
1,11520,12,384,1674,59,49,100,100
1,11520,8,727,2646,94,189,24,53
1,11520,5,1300,2343,81,93,100,100
1,11520,7,1300,2471,113,239,89,93
1,11776,8,334,2433,-120,230,100,53
1,11776,10,-657,-755,119,207,100,0
1,11776,5,160,2369,-119,26,100,100
1,11776,4,-822,-795,117,106,100,0
1,11776,9,-367,-808,83,178,100,0
1,11776,12,351,2352,-120,218,100,100
1,11776,2,-1076,-843,116,133,100,0
1,11776,6,-696,-806,116,177,100,0
1,11776,3,258,2480,-121,292,100,0
1,11776,7,182,2439,-120,356,100,93
1,12032,9,-367,-808,83,179,100,0
1,12032,12,351,2352,-120,328,100,100
1,12032,2,-1076,-843,116,23,100,0
1,12032,4,-822,-795,117,106,100,0
1,12032,7,182,2439,-120,24,100,93
1,12032,10,-657,-755,119,236,100,0
1,12032,3,258,2480,-121,231,100,0
1,12032,8,334,2433,-120,201,100,53
1,12032,5,160,2369,-119,25,100,100
1,12032,6,-696,-806,116,177,100,0
1,12288,10,-657,-755,119,2,100,0
1,12288,7,182,2439,-120,266,100,93
1,12288,8,334,2433,-120,165,100,53
1,12288,3,258,2480,-121,312,100,100
1,12288,5,160,2369,-119,25,100,100
1,12288,6,-696,-806,116,177,100,0
1,12288,4,-822,-795,117,106,100,0
1,12288,9,-367,-808,83,179,100,0
1,12288,12,351,2352,-120,165,100,100
1,12288,2,-1076,-843,116,23,100,0
1,12544,5,160,2369,-119,12,100,100
1,12544,10,-657,-755,119,4,100,100
1,12544,7,182,2439,-120,266,100,93
1,12544,12,351,2352,-120,327,100,100
1,12544,2,-1076,-843,116,1,100,0
1,12544,3,258,2480,-121,234,100,100
1,12544,6,-696,-806,116,177,100,0
1,12544,4,-822,-795,117,23,100,0
1,12544,8,334,2433,-120,306,100,53
1,12544,9,-367,-808,83,179,100,0
1,12800,4,-822,-795,117,2,100,0
1,12800,7,182,2439,-120,272,100,93
1,12800,2,-1076,-843,116,2,100,0
1,12800,6,-696,-806,116,52,100,0
1,12800,10,-657,-755,119,357,100,100
1,12800,8,334,2433,-120,183,100,53
1,12800,9,-367,-808,83,168,100,0
1,12800,12,351,2352,-120,327,100,100
1,12800,3,258,2480,-121,223,100,100
1,12800,5,160,2369,-119,49,100,100
1,13056,5,160,2369,-119,47,100,100
