id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,11382,,,,,,,,,,,,1,,
1,11755,,,,,,,,,,,,1,,
1,14189,,,,,,,,,,,,1,,
1,25935,,,,,,,,,,,,1,,
1,26163,,,,,,,,,,,,1,,
1,26252,,,,,,,,,,,,1,,
1,26353,,,,,,,,,,,,1,,
1,26535,,,,,,,,,,,,1,,
1,28520,10,,,,,,,,,,,1,,
1,28709,10,,,,,,,,,,,1,,
1,28722,,4,,,,,,,,,,1,,
1,28778,10,,,,,,,,,,,1,,
1,28806,,4,,,,,,,,,,1,,
1,28847,10,,,,,,,,,,,1,,
1,28910,10,,,,,,,,,,,1,,
1,28955,8,,,,,,,,,,,1,,
1,28962,10,,,,,,,,,,,1,,
1,29057,10,,,,,,,,,,,1,,
1,29119,8,,,,,,,,,,,1,,
1,29190,,7,,,,,,,,,,1,,
1,29427,,7,,,,,,,,,,1,,
1,29512,,15,,,,,,,,,,1,,
1,29544,10,,,,,,,,,,,1,,
1,29652,,14,,,,,,,,,,1,,
1,29670,11,,,,,,,,,,,1,,
1,29785,,15,,,,,,,,,,1,,
1,29842,7,,,,,,,,,,,1,,
1,29892,,,,14,,,,,,,,1,,
1,30001,,13,,,,,,,,,,1,,
1,30083,15,,,,,,,,,,,1,,
1,30121,13,,,,,,,,,,,1,,
1,30123,,4,,,,,,,,,,1,,
1,30161,6,,,,,,,,,,,1,,
1,30220,,4,,,,,,,,,,1,,
1,30338,6,,,,,,,,,,,1,,
1,30391,,15,,,,,,,,,,1,,
1,30466,,15,,,,,,,,,,1,,
1,30660,,4,,,,,,,,,,1,,
1,30715,,4,,,,,,,,,,1,,
1,30994,,13,,,,,,,,,,1,,
1,31419,,11,,,,,,,,,,1,,
1,31586,,8,,,,,,,,,,1,,
1,31875,10,,,,,,,,,,,1,,
1,31878,14,,,,,,,,,,,1,,
1,31895,,14,,,,,,,,,,1,,
1,31954,10,,,,,,,,,,,1,,
1,32117,10,,,,,,,,,,,1,,
1,32186,,8,,,,,,,,,,1,,
1,32280,,7,,,,,,,,,,1,,
1,32304,14,,16,,,,,,,,,1,,
1,32327,10,,,,,,,,,,,1,,
1,32331,14,,,,,,,,,,,1,,
1,32352,,14,,,,,,,,,,1,,
1,32356,10,,,,,,,,,,,1,,
1,32449,10,,,,,,,,,,,1,,
1,32786,,6,,,,,,,,,,1,,
1,34036,,14,,,,,,,,,,1,,
1,34167,,15,,,,,,,,,,1,,
1,34433,6,,,,,,,,,,,1,,
1,34499,16,,,,,,,,,,,1,,
1,34568,,16,,,,,,,,,,1,,
1,34703,,16,,,,,,,,,,1,,
1,34807,16,,,,,,,,,,,1,,
1,34988,,,,,,,,,,,,1,,
1,35007,,10,,,,,,,,,,1,,
1,35029,,,,10,,,,,,,,1,,
1,35148,,10,,,,,,,,,,1,,
1,35183,,,,,,,,,,,,1,,
1,35285,11,,,,,,,,,,,1,,
1,35373,,7,,,,,,,,,,1,,
1,35419,,10,,,,,,,,,,1,,
1,35507,,,,15,,,,,,,,1,,
1,35612,,15,,,,,,,,,,1,,
1,35786,7,,,,,,,,,,,1,,
1,35816,7,,,,,,,,,,,1,,
1,35836,7,,,,,,,,,,,1,,
1,36001,,10,,,,,,,,,,1,,
1,36382,6,,,,,,,,,,,1,,
1,36475,,10,,,,,,,,,,1,,
1,36604,,,,,,,,,,,,1,,
1,36813,,8,,,,,,,,,,1,,
1,37088,,15,,,,,,,,,,1,,
1,37183,,4,,,,,,,,,,1,,
1,37200,,15,,,,,,,,,,1,,
1,37247,,10,,,,,,,,,,1,,
1,37271,,4,,,,,,,,,,1,,
1,37297,,,,,,,,,,,,1,,
1,37322,14,,,,,,,,,,,1,,
1,37324,7,,,,,,,,,,,1,,
1,37337,10,,,,,,,,,,,1,,
1,37344,7,,,,,,,,,,,1,,
1,37358,10,,,,,,,,,,,1,,
1,37365,7,,14,,,,,,,,,1,,
1,37366,14,,10,,,,,,,,,1,,
1,37380,10,,,,,,,,,,,1,,
1,37385,7,,14,,,,7,14,2,,,1,,
1,37400,10,,,,,,,,,,,1,,
1,37404,7,,,,,,,,,,,1,,
1,37492,,,,,,,,,,,,1,,
1,37536,,13,,,,,,,,,,1,,
1,37608,,8,,,,,,,,,,1,,
1,37635,,10,,,,,,,,,,1,,
1,37686,,13,,,,,,,,,,1,,
1,37771,,15,,,,,,,,,,1,,
1,37837,,8,,,,,,,,,,1,,
1,37959,,8,,,,,,,,,,1,,
1,38029,,7,,,,,,,,,,1,,
1,38076,,11,,,,,,,,,,1,,
1,38094,,4,,,,,,,,,,1,,
1,38137,,8,,,,,,,,,,1,,
1,38191,,4,,,,,,,,,,1,,
1,38249,,7,,,,,,,,,,1,,
1,38251,,6,,,,,,,,,,1,,
