id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,3894,5,,4,,,,,,,,,1,,
1,3907,10,,5,,,,10,5,2,4,,1,,
1,3917,4,,,,,,,,,,,1,,
1,3935,10,,,,,,,,,,,1,,
1,3944,4,,,,,,,,,,,1,,
1,3953,12,,4,,,,,,,,,1,,
1,3954,10,,,,,,,,,,,1,,
1,3992,7,,,,,,,,,,,1,,
1,4001,12,,,,,,,,,,,1,,
1,4005,7,,4,,,,7,4,8,5,,1,,
1,4018,7,,,,,,,,,,,1,,
1,4032,7,,,,,,,,,,,1,,
1,4044,7,,,,,,,,,,,1,,
1,4054,12,,,,,,,,,,,1,,
1,4056,7,,,,,,,,,,,1,,
1,4101,12,,,,,,,,,,,1,,
1,4126,7,,,,,,,,,,,1,,
1,4140,7,,,,,,,,,,,1,,
1,4279,10,,3,,,,,,,,,1,,
1,4287,3,,,,,,,,,,,1,,
1,4299,10,,,,,,,,,,,1,,
1,4312,3,,,,,,,,,,,1,,
1,4318,10,,,,,,,,,,,1,,
1,4336,3,,10,,,,3,10,9,,,1,3,8
1,4356,3,,,,,,,,,,,1,,
1,4379,3,,,,,,,,,,,1,,
1,4523,,8,,,,,,,,,,1,,
1,4528,,3,,,,,,,,,,1,,
1,4626,,7,,,,,,,,,,1,,
1,4728,,7,,,,,,,,,,1,,
1,4838,,12,,,,,,,,,,1,,
1,4912,,8,,,,,,,,,,1,,
1,4974,,,,,,,,,,,1,2,,
1,7650,,10,,,,,,,,,,2,,
1,7687,7,,,,,,,,,,,2,,
1,8015,,6,,,,,,,,,,2,,
1,8016,7,,,,,,,,,,,2,,
1,8024,,7,,,,,,,,,,2,,
1,8190,10,,,,,,,,,,,2,,
1,8544,,7,,,,,,,,,,2,,
1,8545,8,,,,,,,,,,,2,,
1,8585,,12,,,,,,,,,,2,,
1,8676,3,,,,,,,,,,,2,,
1,8740,12,,,,,,,,,,,2,,
1,8777,,4,,,,,,,,,,2,,
1,8821,,6,,,,,,,,,,2,,
1,8847,7,,,,,,,,,,,2,,
1,8871,,2,,,,,,,,,,2,,
1,8891,,6,,,,,,,,,,2,,
1,8898,,,,8,,,,,,,,2,,
1,8962,,2,,,,,,,,,,2,,
1,8980,,3,,,,,,,,,,2,,
1,9180,,8,,,,,,,,,,2,,
1,9270,,12,,,,,,,,,,2,,
1,9442,,3,,,,,,,,,,2,,
1,9457,5,,,,,,,,,,,2,,
1,9526,10,,,,,,,,,,,2,,
